area,methods,path,handler_module,handler_name,source_file,source_line,template,auth_required,js_callers
transactions,GET,/api/transactions/history/{ticket_id},web.routes.transactions,get_history_detail,web/routes/transactions.py,4791,_partials/transactions/_history_detail.html,session,0
transactions,GET,/api/transactions/negative-cash,web.routes.transactions,get_negative_cash,web/routes/transactions.py,5053,_partials/transactions/_negative_cash.html,session,0
transactions,GET,/api/transactions/order-form,web.routes.transactions,get_order_form,web/routes/transactions.py,3658,_partials/transactions/_commitment_composer.html;_partials/transactions/_commitment_recalc.html;_partials/transactions/_order_composer.html;_partials/transactions/_order_recalc.html;_partials/transactions/_secondary_buy_composer.html;_partials/transactions/_secondary_buy_recalc.html;_partials/transactions/_secondary_sale_composer.html;_partials/transactions/_secondary_sale_recalc.html;_partials/transactions/_wizard_recalc.html,session,0
transactions,POST,/api/transactions/propose,web.routes.transactions,post_propose,web/routes/transactions.py,3152,_partials/transactions/_order_confirmation.html;_partials/transactions/_wizard.html,session,0
transactions,POST,/api/transactions/recalc,web.routes.transactions,post_recalc,web/routes/transactions.py,3996,_partials/transactions/_commitment_composer.html;_partials/transactions/_commitment_recalc.html;_partials/transactions/_order_composer.html;_partials/transactions/_order_recalc.html;_partials/transactions/_secondary_buy_composer.html;_partials/transactions/_secondary_buy_recalc.html;_partials/transactions/_secondary_sale_composer.html;_partials/transactions/_secondary_sale_recalc.html;_partials/transactions/_wizard_recalc.html,session,0
transactions,POST,/api/transactions/resolve-identifier,web.routes.transactions,post_resolve_identifier,web/routes/transactions.py,3874,_partials/transactions/_wizard.html,session,0
transactions,GET,/api/transactions/secondary-buy-form,web.routes.transactions,get_secondary_buy_form,web/routes/transactions.py,3739,_partials/transactions/_commitment_composer.html;_partials/transactions/_commitment_recalc.html;_partials/transactions/_order_composer.html;_partials/transactions/_order_recalc.html;_partials/transactions/_secondary_buy_composer.html;_partials/transactions/_secondary_buy_recalc.html;_partials/transactions/_secondary_sale_composer.html;_partials/transactions/_secondary_sale_recalc.html;_partials/transactions/_wizard_recalc.html,session,0
transactions,GET,/api/transactions/secondary-sale-form,web.routes.transactions,get_secondary_sale_form,web/routes/transactions.py,3681,_partials/transactions/_commitment_composer.html;_partials/transactions/_commitment_recalc.html;_partials/transactions/_order_composer.html;_partials/transactions/_order_recalc.html;_partials/transactions/_secondary_buy_composer.html;_partials/transactions/_secondary_buy_recalc.html;_partials/transactions/_secondary_sale_composer.html;_partials/transactions/_secondary_sale_recalc.html;_partials/transactions/_wizard_recalc.html,session,0
transactions,GET,/api/transactions/ticket/{ticket_id},web.routes.transactions,get_ticket,web/routes/transactions.py,4326,_partials/transactions/_wizard.html,session,0
transactions,GET,/api/transactions/ticket/{ticket_id}/cancel,web.routes.transactions,get_cancel_panel,web/routes/transactions.py,4393,_partials/transactions/_cancel_panel.html,session,0
transactions,POST,/api/transactions/ticket/{ticket_id}/cancel,web.routes.transactions,post_cancel,web/routes/transactions.py,4421,_partials/transactions/_cancel_panel.html;_partials/transactions/_blotter.html,session,0
transactions,GET,/api/transactions/ticket/{ticket_id}/impact,web.routes.transactions,get_impact_panel,web/routes/transactions.py,5194,_partials/transactions/_impact_panel.html,session,0
transactions,GET,/api/transactions/ticket/{ticket_id}/reverse,web.routes.transactions,get_reverse_panel,web/routes/transactions.py,4902,_partials/transactions/_reverse_panel.html,session,0
transactions,POST,/api/transactions/ticket/{ticket_id}/reverse,web.routes.transactions,post_reverse,web/routes/transactions.py,4962,_partials/transactions/_history.html;_partials/transactions/_reverse_panel.html,session,0
transactions,GET,/api/transactions/wizard,web.routes.transactions,get_wizard,web/routes/transactions.py,3819,_partials/transactions/_wizard.html,session,0
transactions,GET,/transactions,web.routes.areas,transactions_view,web/routes/areas.py,309,areas/transactions.html;_partials/area_fragment.html,session,0
unassigned,GET,/,web.routes.chat,root_redirect,web/routes/chat.py,1437,,session,0
unassigned,GET,/api/chat/pin-chart,web.routes.chat,get_pin_chart_dialog,web/routes/chat.py,2432,_partials/chat_pin_chart_dialog.html,session,1
unassigned,POST,/api/chat/pin-chart,web.routes.chat,post_pin_chart,web/routes/chat.py,2478,_partials/chat_pin_chart_dialog.html;_partials/chat_pin_confirm.html,session,0
unassigned,GET,/api/chat/pin-consultation,web.routes.chat,get_pin_consultation_dialog,web/routes/chat.py,2216,_partials/chat_pin_dialog.html,session,1
unassigned,POST,/api/chat/pin-consultation,web.routes.chat,post_pin_consultation,web/routes/chat.py,2262,_partials/chat_pin_confirm.html;_partials/chat_pin_dialog.html,session,0
unassigned,GET,/api/cmd-search,web.routes.cmd_search,cmd_search,web/routes/cmd_search.py,91,,session,1
